setup_type,analysis_kind,slice_value,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
momentum_continuation,STAGE,Stage 1,7,7,2,-0.2864144285714286,-1.413639,5.671561447260442,9.926169,9.926169,0.0,3.1442815714285715,1.977778,-3.0131895714285712,-2.321796,10.137115,10.137115,1.230517,1.230517,0.2857142857142857,1.0,0.2857142857142857,0.42857142857142855,1.0,0.0,1.0435060579138566,DESCRIPTIVE_ONLY
momentum_continuation,STAGE,Stage 2,104,65,35,-1.4713413076923074,-1.682338,3.3686490324973932,-0.8008488285714285,-0.628272,3.612237768542697,2.0496444461538466,1.425776,-3.8632862615384616,-3.566334,3.635694828571429,2.497234,-4.555662142857143,-4.223969,0.3076923076923077,0.37142857142857144,0.12195121951219512,0.7560975609756098,0.19047619047619047,0.5714285714285714,0.5305442846830679,WEAK
momentum_continuation,STAGE,Unknown,10,9,2,-2.2089055555555555,-2.56438,4.174694457314424,3.96,3.96,0.0,1.616093222222222,0.714286,-4.5493004444444445,-2.815,5.065,5.065,-2.815,-2.815,0.2222222222222222,1.0,0.0,0.4444444444444444,1.0,0.0,0.35523994116409197,DESCRIPTIVE_ONLY
momentum_continuation,MARKET_REGIME,Bull trend,18,5,0,0.0751186000000001,-0.978702,3.98779119713643,,,,2.8232984,2.061831,-3.5888558,-3.903947,,,,,0.4,,0.2,0.6,,,0.7866848258433788,DESCRIPTIVE_ONLY
momentum_continuation,MARKET_REGIME,Choppy,7,0,0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE_ONLY
momentum_continuation,MARKET_REGIME,Distribution,96,76,39,-1.5512872236842106,-1.7132619999999998,3.6466500285084575,-0.006599256410256456,-0.274376,4.275104248880597,2.0482264078947368,1.3219755,-3.884281039473683,-3.4792825,4.042398692307692,2.512168,-4.169670282051281,-4.223969,0.2894736842105263,0.4358974358974359,0.11538461538461539,0.6730769230769231,0.32,0.48,0.5273115892181349,WEAK
none,ALL,ALL,421,285,176,1.1442826491228069,0.697262,4.633195951576308,1.2569649488636363,0.285633,5.388869620692681,4.256830010526316,3.093172,-2.3722538666666666,-1.916301,5.885519545454545,4.047361,-3.051123085227273,-2.45341,0.6070175438596491,0.5227272727272727,0.3073394495412844,0.41284403669724773,0.45714285714285713,0.4928571428571429,1.794424311133163,USEFUL_BUT_NOISY
none,SQ_QUARTILE,1,106,91,58,0.5159760439560439,0.894935,3.723030373487403,0.844488275862069,1.1557585000000001,3.6772384214508604,3.882951230769231,3.366282,-2.582468054945055,-1.758824,5.4125591551724135,4.61272,-3.2160132241379307,-2.45341,0.5714285714285714,0.603448275862069,0.28125,0.46875,0.45454545454545453,0.4772727272727273,1.5035815151068133,WEAK
none,SQ_QUARTILE,2,105,50,28,2.12888432,0.8220365000000001,5.607464128057252,3.015703535714286,1.198963,7.469274773731237,5.17241108,2.788004,-1.87735282,-1.4640715000000002,7.234646714285715,4.082715,-2.758858857142857,-1.756694,0.68,0.6428571428571429,0.3191489361702128,0.2127659574468085,0.5,0.42857142857142855,2.7551619625766453,WEAK
none,SQ_QUARTILE,3,105,92,64,1.5050229347826087,0.742091,5.576674765094604,1.32283146875,-0.523655,6.232232407285237,4.632466163043478,2.685533,-2.639950782608696,-2.285061,6.625866359374999,3.863676,-2.9163025625000003,-2.397507,0.5978260869565217,0.421875,0.3559322033898305,0.5423728813559322,0.4883720930232558,0.6046511627906976,1.7547547452630374,WEAK
